Full Address,Purchase Price,Bedrooms,Bathrooms,Square Feet
"5820 Urbandale Ave, Des Moines, IA 50322",234000,3,2,1485
"2540 Capitol Ave, Des Moines, IA 50317",164900,3,2,1176
"2445 Capitol Ave, Des Moines, IA 50317",190000,3,3,1241
"2615 30th St, Des Moines, IA 50310",225000,3,2,918
"3314 5th Ave, Des Moines, IA 50313",220000,3,2,768
"2413 SE 8th St, Des Moines, IA 50315",170000,3,2,442
"4133 E Madison Ave, Des Moines, IA 50317",229900,3,2,988
"1915 8th St, Des Moines, IA 50314",185000,3,2,1284
"2614 E 38th Ct, Des Moines, IA 50317",225000,3,2,1254
"1930 Arlington Ave, Des Moines, IA 50314",223000,3,2,1392
"2601 Sherwood Dr, Des Moines, IA 50310",180000,3,2,1320
"1118 Euclid Ave, Des Moines, IA 50313",198000,3,2,1376
"2638 Capitol Ave, Des Moines, IA 50317",220000,3,2,1167
"3421 Amherst St, Des Moines, IA 50313",215000,3,2,1197
